ID_Prestamo,Monto_Prestamo_COP,Plazo_Meses,Edad_Agricultor,Experiencia_Anios,Ingresos_Mensuales_COP,Garantia_Respaldada,Subsidio_Gobierno,Tasa_Interes_EA
1,48072000.0,48,72,27,9220000.0,0,0,22.42
2,114332000.0,36,51,39,8048000.0,0,1,14.08
3,89179000.0,60,25,19,7181000.0,0,0,24.57
4,73846000.0,12,39,32,8681000.0,1,1,12.44
5,22942000.0,60,25,11,2840000.0,1,1,17.45
6,22939000.0,12,66,14,7670000.0,0,1,16.27
7,11680000.0,24,32,40,3142000.0,1,1,13.32
8,104610000.0,12,34,38,11203000.0,1,0,16.39
9,74128000.0,48,40,1,2031000.0,0,0,27.48
10,86428000.0,36,41,28,5905000.0,1,1,14.98
11,7367000.0,24,62,40,8745000.0,1,0,17.6
12,116540000.0,12,36,9,6201000.0,1,0,19.96
13,100731000.0,60,22,1,2285000.0,1,1,17.86
14,29419000.0,24,49,10,7221000.0,1,1,16.17
15,25910000.0,24,61,12,8165000.0,0,1,17.36
16,26092000.0,12,18,9,8831000.0,0,0,22.21
17,39988000.0,24,40,13,5294000.0,0,1,17.58
18,65347000.0,60,54,17,7331000.0,1,0,20.57
19,54674000.0,24,25,8,6122000.0,0,0,22.93
20,38491000.0,60,30,38,8491000.0,0,1,16.87
21,75363000.0,12,25,27,7544000.0,1,0,17.13
22,21042000.0,36,74,2,6926000.0,1,0,20.47
23,38597000.0,24,40,19,3970000.0,1,1,15.28
24,47132000.0,36,60,5,1322000.0,0,0,25.68
25,57448000.0,60,18,26,3163000.0,0,0,23.92
26,95295000.0,24,62,1,2553000.0,1,0,21.51
27,27962000.0,48,68,28,6105000.0,0,1,18.26
28,64137000.0,36,41,37,7851000.0,0,1,15.04
29,73128000.0,24,52,2,3580000.0,1,1,14.86
30,10342000.0,36,41,15,11348000.0,1,1,12.33
31,74868000.0,24,34,22,1371000.0,0,1,18.06
32,24610000.0,12,22,39,9564000.0,1,1,10.37
33,12481000.0,36,37,1,7990000.0,1,0,21.19
34,114122000.0,48,38,16,5297000.0,0,0,23.15
35,116048000.0,48,57,40,1840000.0,1,1,14.97
36,97966000.0,60,75,11,8014000.0,0,0,23.27
37,40031000.0,24,48,34,5426000.0,0,1,16.5
38,16232000.0,36,63,42,11318000.0,1,1,10.18
39,83687000.0,60,53,0,7099000.0,0,1,19.97
40,55618000.0,36,28,44,11354000.0,1,1,10.56
41,19034000.0,24,69,14,3659000.0,0,1,17.43
42,61945000.0,48,32,25,9065000.0,1,0,20.92
43,8955000.0,12,36,36,7905000.0,1,1,12.57
44,109572000.0,48,24,20,9212000.0,0,1,17.75
45,34760000.0,60,68,30,3597000.0,0,1,18.79
46,81190000.0,12,45,24,8415000.0,1,0,17.83
47,40847000.0,60,68,22,6629000.0,1,0,19.25
48,64808000.0,24,60,23,9248000.0,1,0,18.13
49,67872000.0,12,75,37,4799000.0,1,1,12.22
50,26258000.0,60,22,27,10824000.0,1,1,12.5
51,116502000.0,24,22,20,2202000.0,1,0,19.39
52,94140000.0,48,47,42,9937000.0,1,1,12.33
53,113042000.0,24,71,17,10516000.0,1,0,19.6
54,107905000.0,36,49,35,10045000.0,1,1,12.71
55,73758000.0,24,25,34,6786000.0,1,1,12.86
56,111016000.0,24,27,44,5991000.0,1,0,18.05
57,15177000.0,36,55,8,11960000.0,1,1,10.87
58,27538000.0,60,64,37,3752000.0,1,1,14.42
59,10201000.0,60,49,29,7152000.0,0,1,16.27
60,42413000.0,24,65,43,8476000.0,0,1,15.2
61,49698000.0,36,45,33,8799000.0,1,1,12.55
62,36205000.0,36,34,31,3483000.0,1,0,19.28
63,100305000.0,48,48,2,8298000.0,1,1,15.22
64,46027000.0,60,25,2,10057000.0,0,1,18.25
65,37307000.0,12,57,27,1835000.0,1,1,15.7
66,67410000.0,60,42,43,11053000.0,1,0,18.25
67,21206000.0,60,26,14,1616000.0,0,0,25.65
68,97253000.0,48,19,40,5109000.0,1,0,18.55
69,13573000.0,12,32,22,1469000.0,1,0,19.54
70,118492000.0,48,67,39,2125000.0,1,0,20.74
71,93808000.0,12,20,10,11050000.0,1,1,12.58
72,27852000.0,24,66,31,5097000.0,1,0,19.33
73,5635000.0,12,53,35,5845000.0,1,0,19.09
74,98778000.0,48,21,32,3604000.0,0,1,16.73
75,86289000.0,60,31,23,7689000.0,1,0,21.03
76,88836000.0,12,58,38,7664000.0,1,0,18.36
77,93696000.0,12,58,22,5283000.0,1,0,16.95
78,13515000.0,36,42,27,4863000.0,0,0,24.88
79,46224000.0,60,75,36,10769000.0,1,1,12.97
80,18325000.0,24,72,6,5401000.0,0,0,23.36
81,104257000.0,48,67,3,6580000.0,1,1,16.0
82,76679000.0,24,27,36,4331000.0,0,1,15.98
